Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	prap  Pieris rapae (cabbage white)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	haw  Helicoverpa armigera (cotton bollworm)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	tnl  Trichoplusia ni (cabbage looper)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	pxy  Plutella xylostella (diamondback moth)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	api  Acyrthosiphon pisum (pea aphid)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	dnx  Diuraphis noxia (Russian wheat aphid)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	ags  Aphis gossypii (cotton aphid)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	rmd  Rhopalosiphum maidis (corn leaf aphid)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	btab  Bemisia tabaci (sweet potato whitefly)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	clec  Cimex lectularius (bed bug)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	phu  Pediculus humanus corporis (human body louse)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	zne  Zootermopsis nevadensis
Eukaryotes (542)	Animals (250)	Arthropods (72)	Insects (65)	fcd  Folsomia candida
Eukaryotes (542)	Animals (250)	Arthropods (72)	Crustaceans (2)	dpx  Daphnia pulex (common water flea)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Crustaceans (2)	pvm  Penaeus vannamei (Pacific white shrimp)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Chelicerates (5)	isc  Ixodes scapularis (black-legged tick)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Chelicerates (5)	tut  Tetranychus urticae (two-spotted spider mite)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Chelicerates (5)	dpte  Dermatophagoides pteronyssinus (European house dust mite)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Chelicerates (5)	cscu  Centruroides sculpturatus (bark scorpion)
Eukaryotes (542)	Animals (250)	Arthropods (72)	Chelicerates (5)	ptep  Parasteatoda tepidariorum (common house spider)
Eukaryotes (542)	Animals (250)	Nematodes (6)	cel  Caenorhabditis elegans (nematode)
Eukaryotes (542)	Animals (250)	Nematodes (6)	cbr  Caenorhabditis briggsae
Eukaryotes (542)	Animals (250)	Nematodes (6)	bmy  Brugia malayi (filaria)
Eukaryotes (542)	Animals (250)	Nematodes (6)	loa  Loa loa (eye worm)
Eukaryotes (542)	Animals (250)	Nematodes (6)	nai  Necator americanus
Eukaryotes (542)	Animals (250)	Nematodes (6)	tsp  Trichinella spiralis
Eukaryotes (542)	Animals (250)	Annelids (1)	hro  Helobdella robusta
Eukaryotes (542)	Animals (250)	Mollusks (5)	lgi  Lottia gigantea (owl limpet)
Eukaryotes (542)	Animals (250)	Mollusks (5)	pcan  Pomacea canaliculata (golden apple snail)
Eukaryotes (542)	Animals (250)	Mollusks (5)	crg  Crassostrea gigas (Pacific oyster)
Eukaryotes (542)	Animals (250)	Mollusks (5)	myi  Mizuhopecten yessoensis (Yesso scallop)
Eukaryotes (542)	Animals (250)	Mollusks (5)	obi  Octopus bimaculoides
Eukaryotes (542)	Animals (250)	Brachiopodas (1)	lak  Lingula anatina
Eukaryotes (542)	Animals (250)	Flatworms (4)	smm  Schistosoma mansoni
Eukaryotes (542)	Animals (250)	Flatworms (4)	shx  Schistosoma haematobium
Eukaryotes (542)	Animals (250)	Flatworms (4)	ovi  Opisthorchis viverrini
Eukaryotes (542)	Animals (250)	Flatworms (4)	egl  Echinococcus granulosus
Eukaryotes (542)	Animals (250)	Cnidarians (8)	nve  Nematostella vectensis (starlet sea anemone)
Eukaryotes (542)	Animals (250)	Cnidarians (8)	epa  Exaiptasia diaphana
Eukaryotes (542)	Animals (250)	Cnidarians (8)	adf  Acropora digitifera (stony coral)
Eukaryotes (542)	Animals (250)	Cnidarians (8)	amil  Acropora millepora
Eukaryotes (542)	Animals (250)	Cnidarians (8)	pdam  Pocillopora damicornis (lace coral)
Eukaryotes (542)	Animals (250)	Cnidarians (8)	spis  Stylophora pistillata
Eukaryotes (542)	Animals (250)	Cnidarians (8)	dgt  Dendronephthya gigantea (soft corals)
Eukaryotes (542)	Animals (250)	Cnidarians (8)	hmg  Hydra vulgaris
Eukaryotes (542)	Animals (250)	Placozoans (1)	tad  Trichoplax adhaerens
Eukaryotes (542)	Animals (250)	Poriferans (1)	aqu  Amphimedon queenslandica (sponge)
Eukaryotes (542)	Plants (106)	Eudicots (75)	Mustard family (9)	ath  Arabidopsis thaliana (thale cress)
Eukaryotes (542)	Plants (106)	Eudicots (75)	Mustard family (9)	aly  Arabidopsis lyrata (lyrate rockcress)
Eukaryotes (542)	Plants (106)	Eudicots (75)	Mustard family (9)	crb  Capsella rubella
Eukaryotes (542)	Plants (106)	Eudicots (75)	Mustard family (9)	csat  Camelina sativa (false flax)
Eukaryotes (542)	Plants (106)	Eudicots (75)	Mustard family (9)	eus  Eutrema salsugineum
